Wafer_Thickness_um,Surface_Defect_Count,Resistance_Ohms,Voltage_V,Temperature_C,Process_Time_min,Chemical_Concentration_ppm,Surface_Roughness_nm,Pattern_Alignment_Error_nm,Classification
727.6,1,28.891,3.251,1012.3,137.6,3.27,1.31,18.0,Pass
683.07,12,95.195,3.224,1119.0,114.4,2.61,12.13,80.6,Fail
717.23,4,12.64,3.351,995.0,189.5,0.84,2.86,17.3,Pass
706.43,7,35.438,3.321,993.3,158.4,1.71,1.26,27.1,Pass
703.82,3,49.239,3.313,970.1,171.4,1.84,1.14,31.3,Pass
731.19,1,38.154,3.308,1013.5,159.3,6.12,5.55,21.1,Pass
772.39,20,5.653,3.474,750.0,83.8,15.9,15.67,69.5,Fail
687.63,19,8.14,3.405,922.2,174.8,0.45,9.71,78.0,Fail
706.54,3,30.445,3.287,951.3,165.2,0.25,3.1,18.9,Pass
715.2,4,24.87,3.317,1008.2,141.4,0.76,4.1,21.4,Pass
720.02,20,4.356,3.566,750.0,93.6,28.56,2.94,86.0,Fail
718.3,1,42.887,3.281,1014.5,166.6,1.5,6.5,15.3,Pass
743.86,16,67.922,2.907,1086.5,202.6,2.71,7.81,112.2,Fail
748.25,6,12.173,3.338,1051.4,139.1,0.84,3.63,18.4,Pass
706.79,6,49.246,3.355,928.9,183.3,0.29,3.14,10.9,Pass
726.31,2,43.837,3.296,1009.8,156.5,1.18,0.5,37.3,Pass
723.37,4,27.148,3.24,991.6,171.1,0.12,1.4,5.0,Pass
706.6,12,3.869,3.41,895.9,150.6,30.0,9.08,86.0,Fail
736.08,3,44.158,3.266,1024.9,138.3,0.71,1.04,31.5,Pass
729.05,12,1.569,3.453,810.1,100.7,5.1,1.51,103.2,Fail
711.74,6,18.63,3.248,1010.1,145.7,0.18,0.84,30.4,Pass
706.09,2,35.858,3.288,993.0,138.8,0.21,1.54,43.5,Pass
726.05,3,34.897,3.29,990.2,161.4,0.95,1.67,9.3,Pass
721.61,3,44.542,3.369,1035.9,116.2,0.9,1.98,20.8,Pass
711.66,4,48.642,3.305,954.4,130.3,0.11,1.16,15.2,Pass
702.37,16,86.002,3.641,1135.2,120.3,1.41,3.67,45.4,Fail
665.04,19,8.604,3.038,835.7,220.0,0.7,8.02,88.5,Fail
696.3,2,41.768,3.25,987.1,144.4,0.96,2.83,25.4,Pass
728.76,3,24.409,3.276,993.5,152.0,3.76,0.69,14.1,Pass
729.44,1,12.009,3.284,971.1,141.2,2.24,2.27,20.3,Pass
723.86,21,62.08,3.264,1164.4,107.4,4.47,7.72,63.1,Fail
734.16,2,37.185,3.239,1010.2,137.5,1.92,3.97,10.4,Pass
713.11,5,14.808,3.401,1043.9,152.8,0.61,1.56,33.0,Pass
736.63,21,3.653,2.969,811.3,179.6,1.11,6.64,93.2,Fail
702.28,7,26.66,3.308,961.0,116.8,1.35,0.8,26.8,Pass
744.61,4,21.047,3.332,992.8,158.2,3.38,0.51,28.6,Pass
746.77,4,40.44,3.388,1044.1,139.1,1.82,0.95,7.4,Pass
715.99,2,30.451,3.268,979.5,142.6,4.3,2.37,34.9,Pass
723.91,1,12.094,3.342,998.1,146.2,1.95,1.55,31.5,Pass
711.54,5,34.894,3.331,994.9,148.1,5.57,2.38,24.9,Pass
726.14,3,49.247,3.352,975.8,155.1,0.64,3.0,40.9,Pass
729.52,3,45.546,3.251,988.8,166.5,1.49,4.06,33.8,Pass
790.67,19,8.346,3.169,811.7,158.6,10.11,9.59,90.4,Fail
736.28,3,34.991,3.256,1005.0,126.8,0.26,6.66,21.0,Pass
721.65,3,18.355,3.23,998.0,154.2,1.79,3.26,38.7,Pass
708.58,18,3.26,3.516,866.3,110.2,9.56,10.97,65.4,Fail
729.71,4,15.952,3.302,1013.4,168.4,0.71,5.09,20.6,Pass
716.29,17,7.487,3.486,800.1,131.8,3.36,11.1,56.5,Fail
716.0,5,15.632,3.348,1037.8,133.0,6.63,2.93,16.4,Pass
732.1,2,15.353,3.269,943.5,147.0,7.41,5.9,17.3,Pass
687.15,25,73.624,3.285,1138.0,129.9,25.9,4.8,72.9,Fail
714.27,3,48.54,3.283,988.7,136.4,1.41,1.4,9.0,Pass
800.0,13,5.617,3.259,827.3,158.9,0.1,5.81,96.5,Fail
725.68,4,40.96,3.276,1004.6,149.1,0.25,0.66,22.1,Pass
762.04,16,2.213,3.267,909.1,151.1,9.89,12.02,5.0,Fail
753.45,6,16.678,3.316,995.6,128.9,5.32,2.4,45.1,Pass
708.83,5,28.564,3.254,979.6,164.9,0.43,1.59,16.7,Pass
714.85,5,37.509,3.241,1035.1,160.1,1.58,5.69,5.0,Pass
730.64,5,25.462,3.34,970.7,147.3,0.23,2.31,24.0,Pass
729.66,2,29.956,3.265,988.7,153.2,1.14,2.8,31.0,Pass
737.41,3,14.215,3.277,1030.9,127.1,1.66,0.5,10.0,Pass
731.03,4,11.167,3.335,945.2,155.4,0.71,4.88,40.8,Pass
721.88,2,28.8,3.264,1002.5,156.3,4.59,2.69,18.3,Pass
728.48,3,35.625,3.358,957.2,144.7,2.06,0.5,31.2,Pass
720.18,2,48.405,3.372,974.2,156.0,0.46,3.82,25.9,Pass
653.63,9,3.26,3.499,862.6,149.6,0.81,5.98,85.0,Fail
723.92,3,21.785,3.245,953.4,143.4,4.26,0.5,9.8,Pass
728.92,3,12.916,3.219,970.6,146.5,1.2,4.52,30.3,Pass
719.98,4,30.718,3.307,984.9,152.2,1.69,3.55,23.9,Pass
721.03,3,11.927,3.243,935.1,166.2,0.96,3.81,17.5,Pass
725.37,4,49.73,3.382,1027.8,161.9,4.31,1.22,27.9,Pass
703.77,7,19.295,3.281,967.4,128.3,2.01,0.96,41.7,Pass
784.05,14,96.129,2.635,1250.0,146.2,6.17,8.34,79.3,Fail
716.13,5,28.387,3.25,1023.4,170.1,0.32,3.08,29.2,Pass
732.45,5,25.806,3.353,989.5,133.8,5.56,1.91,20.6,Pass
687.93,10,83.489,3.51,1135.0,149.4,5.19,12.04,96.0,Fail
702.82,3,12.498,3.391,997.9,141.9,1.32,1.47,19.5,Pass
721.73,3,11.756,3.343,1036.3,132.6,0.28,1.95,19.7,Pass
715.57,19,4.402,3.358,882.6,161.9,10.2,12.15,68.7,Fail
732.79,3,39.154,3.209,1031.6,164.1,2.71,1.5,26.4,Pass
705.08,2,18.019,3.361,978.6,133.2,0.17,5.64,18.3,Pass
716.6,6,19.676,3.355,997.8,142.5,1.29,5.07,23.3,Pass
717.74,2,41.328,3.351,985.8,139.1,1.84,2.34,31.6,Pass
740.46,3,37.701,3.376,982.0,139.8,1.61,1.51,27.3,Pass
757.0,3,25.527,3.338,966.0,152.8,0.27,2.57,17.8,Pass
712.76,5,40.442,3.217,993.0,157.5,2.59,4.23,27.8,Pass
734.72,1,29.022,3.332,963.0,153.6,4.37,5.55,15.6,Pass
712.57,3,31.186,3.393,1010.3,161.5,2.82,3.02,32.8,Pass
756.39,5,49.793,3.297,979.7,133.0,0.98,4.01,38.4,Pass
758.26,17,1.814,3.538,886.4,127.5,6.98,10.4,18.6,Fail
726.49,0,15.715,3.371,966.9,148.0,0.33,1.54,7.7,Pass
692.1,9,98.375,3.207,1112.1,186.8,4.54,12.14,82.4,Fail
707.0,5,40.926,3.362,1048.8,143.4,1.72,3.99,17.8,Pass
730.12,0,38.102,3.327,1019.6,142.6,0.72,2.1,16.8,Pass
695.61,17,7.3,3.006,895.1,99.9,8.66,5.72,91.8,Fail
728.25,3,22.475,3.26,991.2,136.6,1.72,6.27,18.7,Pass
719.12,2,41.781,3.302,1009.9,172.9,0.11,3.57,26.7,Pass
778.31,16,60.567,3.195,1182.9,128.0,30.0,8.4,85.0,Fail
731.66,2,25.92,3.286,1020.2,151.4,1.99,3.67,23.5,Pass
739.39,3,24.869,3.275,1008.9,134.7,2.19,2.48,12.8,Pass
676.38,3,19.864,3.31,1045.2,167.7,0.66,0.62,14.7,Pass
709.07,2,21.371,3.291,974.9,144.9,2.94,3.18,27.9,Pass
736.81,3,37.481,3.275,1062.4,136.3,1.64,3.24,31.0,Pass
691.23,27,7.169,3.386,855.6,125.8,17.74,7.45,76.2,Fail
714.8,1,43.708,3.265,1014.0,134.8,1.13,3.31,5.0,Pass
735.89,14,86.007,3.628,1191.0,129.5,27.18,13.66,96.4,Fail
718.98,2,36.497,3.331,1053.0,146.7,0.37,6.22,30.1,Pass
726.45,6,48.425,3.346,999.7,156.3,0.18,0.51,36.4,Pass
700.89,4,38.279,3.407,1003.7,151.0,1.82,3.41,34.7,Pass
738.77,3,48.968,3.372,1034.9,157.8,2.91,6.57,29.5,Pass
732.73,2,45.609,3.293,1008.0,155.1,0.1,5.93,21.7,Pass
730.36,3,15.892,3.318,994.5,174.3,0.45,3.12,14.5,Pass
718.05,3,15.226,3.297,972.7,136.2,0.32,2.35,26.4,Pass
730.26,17,2.923,3.619,941.4,104.5,5.58,16.15,57.9,Fail
724.8,3,49.23,3.303,1008.9,139.7,2.34,1.71,7.5,Pass
736.87,4,20.382,3.27,964.4,134.3,2.78,3.92,23.5,Pass
740.49,3,10.944,3.285,993.6,126.7,7.02,1.25,19.8,Pass
738.73,3,42.329,3.333,978.9,157.1,0.9,2.79,31.4,Pass
723.28,6,20.623,3.348,983.2,168.8,1.1,1.69,6.6,Pass
782.0,9,1.0,3.264,908.3,127.5,0.18,18.66,83.4,Fail
717.47,4,14.44,3.346,1004.1,152.8,3.77,1.8,16.6,Pass
712.97,2,47.169,3.293,976.0,167.1,1.58,0.5,47.1,Pass
665.38,15,76.603,3.369,1051.5,129.3,1.15,8.38,77.3,Fail
713.4,3,46.781,3.317,1006.3,129.2,1.75,7.09,28.0,Pass
748.69,5,46.378,3.323,973.2,170.5,0.82,6.15,16.7,Pass
711.38,1,28.507,3.288,989.5,132.4,2.06,2.33,19.4,Pass
709.25,21,8.153,3.491,853.8,150.8,14.01,9.24,74.8,Fail
789.1,14,2.402,3.045,885.5,170.4,3.9,1.35,75.5,Fail
704.85,13,59.199,3.456,1207.1,124.4,0.69,3.5,115.5,Fail
742.22,15,1.311,3.268,784.2,206.0,4.88,7.32,59.5,Fail
748.07,1,15.714,3.294,983.6,168.0,2.72,4.06,27.6,Pass
727.62,3,29.057,3.278,965.4,168.6,1.32,1.2,17.0,Pass
731.06,0,46.244,3.309,962.5,169.0,0.69,4.82,31.8,Pass
706.28,1,28.952,3.267,964.6,178.5,0.12,4.84,21.4,Pass
663.44,11,8.007,3.342,908.0,141.5,30.0,20.0,80.2,Fail
727.77,1,12.508,3.262,969.7,181.6,1.0,1.54,28.6,Pass
713.25,0,39.946,3.214,998.1,150.1,2.09,1.71,29.6,Pass
742.03,4,12.324,3.265,1014.6,125.7,5.06,0.93,22.5,Pass
720.35,2,41.726,3.279,981.7,144.3,1.18,3.62,31.8,Pass
745.34,4,43.139,3.385,993.4,138.4,1.82,0.52,16.1,Pass
717.93,4,19.894,3.238,985.9,177.1,8.14,2.24,12.1,Pass
721.48,1,21.812,3.325,1031.2,145.6,0.88,4.61,17.6,Pass
712.59,1,43.922,3.27,1033.5,157.1,1.18,6.17,18.7,Pass
708.4,1,10.355,3.376,1001.7,138.1,0.83,8.49,5.0,Pass
720.36,2,24.349,3.274,1006.6,122.3,0.36,0.87,34.9,Pass
766.28,9,1.552,2.952,881.4,90.4,2.06,16.83,91.2,Fail
706.31,3,36.294,3.318,932.9,156.0,0.44,1.96,8.9,Pass
720.27,6,20.704,3.195,934.4,176.7,2.7,3.57,16.0,Pass
738.44,14,98.681,3.167,1112.0,191.2,7.45,20.0,74.8,Fail
721.7,4,13.106,3.375,1022.3,137.8,1.68,0.5,25.6,Pass
679.34,17,62.29,2.954,1131.1,97.0,0.1,3.35,47.9,Fail
749.49,2,12.314,3.285,1040.4,161.3,1.33,2.43,12.0,Pass
736.87,1,12.871,3.385,1017.0,152.0,0.46,5.45,33.2,Pass
728.48,5,22.534,3.3,1015.2,138.2,0.36,4.09,31.8,Pass
708.94,3,27.309,3.353,967.7,154.2,5.12,1.06,18.4,Pass
746.5,14,54.844,3.067,1109.1,158.8,30.0,3.06,92.2,Fail
726.03,6,29.868,3.386,985.2,114.4,2.63,3.4,29.6,Pass
737.34,6,43.101,3.25,1040.6,146.4,0.11,3.62,16.6,Pass
776.8,14,93.223,3.507,1154.3,172.3,4.78,10.13,73.7,Fail
739.31,3,14.46,3.306,993.5,156.5,0.1,2.04,13.0,Pass
728.13,3,32.941,3.362,995.7,164.4,0.55,0.59,25.1,Pass
725.96,5,10.397,3.313,995.0,146.6,0.55,0.54,27.0,Pass
722.11,3,14.917,3.34,1062.3,157.6,4.56,3.73,30.1,Pass
734.51,1,49.041,3.309,952.7,158.7,3.59,3.92,22.6,Pass
782.57,10,64.001,3.063,1236.6,80.0,3.04,14.23,40.4,Fail
724.48,2,30.123,3.318,1024.7,179.0,2.46,0.5,23.0,Pass
729.45,2,14.076,3.309,1024.3,154.8,3.0,1.07,36.1,Pass
722.58,1,26.204,3.316,975.4,141.6,0.46,5.8,28.9,Pass
726.7,4,33.132,3.313,1044.9,161.8,0.17,2.4,12.5,Pass
685.7,4,36.342,3.304,1042.9,137.5,0.84,1.61,49.4,Pass
709.81,3,47.762,3.391,1002.0,165.2,0.54,2.98,20.5,Pass
710.14,2,32.1,3.23,991.9,141.8,3.65,5.58,21.0,Pass
742.14,1,33.435,3.265,1026.0,158.3,1.18,3.55,31.6,Pass
734.18,0,38.908,3.326,989.0,151.2,4.32,0.94,29.6,Pass
769.72,18,2.489,3.237,947.6,145.2,1.71,6.9,62.2,Fail
706.69,6,40.581,3.245,1020.7,146.8,1.88,1.76,13.3,Pass
724.6,1,34.14,3.296,1014.5,150.8,6.3,4.1,24.7,Pass
732.47,5,11.796,3.388,1016.3,164.9,0.33,0.8,18.7,Pass
721.97,3,27.313,3.266,1002.1,127.4,0.47,12.53,5.0,Pass
719.22,2,29.074,3.357,958.0,137.4,2.71,1.9,40.5,Pass
733.93,2,17.877,3.245,980.3,155.0,1.55,6.41,24.0,Pass
711.21,3,35.182,3.308,1006.9,152.8,1.7,4.52,36.7,Pass
725.19,2,21.555,3.401,976.5,151.1,1.02,3.54,32.4,Pass
729.21,4,46.699,3.354,982.2,165.8,4.24,1.99,22.2,Pass
712.87,2,23.953,3.221,1046.0,158.0,1.14,1.5,33.1,Pass
650.0,13,79.605,3.295,1130.0,115.9,4.63,11.37,70.8,Fail
700.81,2,26.172,3.288,946.4,122.3,0.16,4.31,29.1,Pass
734.39,4,48.272,3.335,1034.6,174.0,7.0,2.08,10.6,Pass
726.64,17,3.824,3.664,833.9,149.9,1.83,3.08,60.6,Fail
752.78,3,44.623,3.397,1016.2,119.0,0.1,4.9,24.6,Pass
707.13,2,25.093,3.387,1004.5,145.1,0.48,1.09,37.2,Pass
703.46,2,31.779,3.226,1032.6,145.9,0.84,10.56,29.6,Pass
718.01,2,41.62,3.323,978.5,119.6,1.81,1.52,30.2,Pass
748.44,12,51.072,3.254,1163.8,123.6,11.48,16.11,75.2,Fail
728.67,4,29.076,3.273,990.6,144.5,0.66,2.65,22.1,Pass
706.44,16,66.939,3.574,1220.9,107.7,7.64,2.24,112.6,Fail
745.18,13,65.531,3.408,1201.8,115.3,2.89,8.68,64.6,Fail
725.32,1,43.746,3.276,983.5,164.9,0.1,3.56,27.2,Pass
694.62,2,15.022,3.166,1010.6,112.3,0.25,4.12,21.7,Fail
779.29,16,2.657,3.33,859.8,108.3,12.11,4.01,17.1,Fail
707.01,14,61.99,3.177,1151.2,137.9,6.14,10.94,43.1,Fail
732.57,4,10.702,3.245,1059.7,155.9,0.1,1.45,16.9,Pass
702.21,5,45.942,3.295,1019.6,177.9,4.01,1.07,30.4,Pass
709.63,4,29.363,3.272,979.2,148.4,0.77,3.79,14.2,Pass
726.23,3,10.773,3.353,1041.4,144.0,1.9,1.95,31.2,Pass
726.47,8,25.913,3.348,1034.3,152.8,0.12,1.28,25.6,Pass
757.86,2,42.158,3.323,953.4,142.2,2.18,4.01,16.8,Pass
735.23,7,49.248,3.358,940.4,141.2,0.1,0.5,32.7,Pass
740.81,2,22.625,3.286,1001.6,132.3,5.4,1.71,34.1,Pass
734.44,4,48.317,3.316,984.9,169.4,0.41,1.03,5.0,Pass
730.37,3,15.464,3.286,965.6,142.2,0.65,1.04,15.2,Pass
793.77,16,90.528,2.916,1148.4,162.8,25.53,9.85,87.5,Fail
729.93,2,47.908,3.223,963.9,170.7,3.16,3.81,25.3,Pass
727.99,2,17.833,3.364,932.6,167.3,0.1,1.96,16.9,Pass
737.74,3,12.488,3.294,997.6,158.0,0.74,1.6,18.7,Pass
720.09,1,30.025,3.385,1034.4,131.0,1.01,4.81,38.2,Pass
690.5,23,71.709,3.224,1155.0,137.5,17.95,5.09,105.4,Fail
736.21,5,30.024,3.295,948.0,128.7,0.51,4.38,5.0,Pass
668.77,14,69.095,3.545,1127.0,202.0,0.1,5.02,99.3,Fail
721.07,17,79.941,3.347,1121.9,153.4,2.62,6.1,83.0,Fail
722.79,3,46.316,3.338,974.0,162.3,2.9,4.59,28.9,Pass
735.19,3,30.761,3.261,989.5,151.0,2.93,0.5,21.5,Pass
705.19,4,39.636,3.198,1037.5,125.4,4.08,7.36,30.1,Pass
717.88,3,23.924,3.318,991.0,162.4,0.81,0.96,39.4,Pass
724.69,1,13.05,3.251,969.4,140.4,0.1,2.54,20.8,Pass
695.19,3,29.505,3.259,966.5,158.4,4.81,3.97,32.2,Pass
710.38,1,13.572,3.265,1012.7,157.6,0.78,1.12,19.8,Pass
699.13,5,21.031,3.31,1011.4,147.7,0.28,5.21,39.3,Pass
713.69,1,36.655,3.244,991.0,136.5,0.6,3.6,32.6,Pass
747.13,2,10.484,3.306,1035.5,151.4,4.07,4.59,30.3,Pass
746.8,3,35.766,3.35,1013.0,141.0,0.36,3.29,34.7,Pass
698.55,2,47.055,3.292,963.6,133.2,6.75,5.0,5.0,Pass
724.82,3,12.923,3.224,994.8,140.8,0.9,2.47,22.3,Pass
721.8,2,40.865,3.332,1029.2,129.8,3.24,3.68,25.4,Pass
718.4,1,47.709,3.246,1002.2,153.0,1.89,3.83,13.8,Pass
731.93,2,19.015,3.286,969.1,150.0,0.21,2.55,25.6,Pass
683.59,11,5.313,3.121,844.2,210.2,0.41,6.1,68.4,Fail
728.9,5,43.574,3.342,991.7,158.9,1.28,3.35,8.9,Pass
712.62,2,47.748,3.253,1047.0,143.6,5.3,0.83,33.3,Pass
800.0,17,88.191,3.526,1150.0,114.1,23.16,20.0,78.8,Fail
730.15,1,35.064,3.327,998.7,144.6,0.35,1.79,15.0,Pass
701.74,3,20.856,3.308,984.9,112.5,1.83,4.53,17.5,Pass
724.71,2,47.048,3.318,1042.0,184.4,0.49,1.22,34.7,Pass
734.85,1,48.563,3.249,979.6,151.7,0.1,2.17,36.2,Pass
729.61,2,27.907,3.372,1030.1,139.7,2.26,4.04,15.2,Pass
698.8,16,7.84,3.408,850.0,151.4,2.83,17.44,117.5,Fail
736.38,1,43.419,3.371,1034.3,159.9,1.33,2.63,27.6,Pass
730.42,5,39.515,3.259,1007.5,132.8,0.59,3.37,31.2,Pass
703.55,2,48.312,3.367,985.8,157.2,4.88,1.5,46.8,Pass
693.56,14,2.767,3.412,880.9,219.8,15.98,3.2,55.5,Fail
722.81,18,87.353,3.097,1180.4,186.6,3.94,20.0,125.9,Fail
715.66,3,21.62,3.376,996.8,148.6,2.09,1.17,30.9,Pass
712.41,0,21.976,3.285,1072.3,153.8,0.43,4.07,11.1,Pass
732.11,2,46.398,3.281,997.1,110.4,0.44,1.52,33.2,Pass
729.97,2,42.177,3.275,1000.6,163.8,4.97,3.53,26.8,Pass
716.83,3,21.431,3.244,1012.0,135.3,1.27,2.25,37.0,Pass
676.7,15,71.412,3.203,1087.7,93.2,11.91,12.16,64.3,Fail
715.07,1,40.806,3.298,1041.1,150.7,1.15,3.01,12.1,Pass
747.59,15,3.658,3.366,945.1,193.7,5.31,8.98,74.1,Fail
729.86,3,44.151,3.355,1020.3,160.8,3.39,2.39,23.6,Pass
712.67,1,40.292,3.283,1015.7,167.3,0.13,1.3,28.9,Pass
733.41,7,36.066,3.321,990.6,167.1,1.63,2.15,22.0,Pass
696.71,17,3.857,3.412,894.7,95.3,9.41,3.58,68.7,Fail
707.06,0,49.913,3.269,984.6,146.9,6.08,5.06,22.7,Pass
741.33,6,33.805,3.411,1038.6,150.0,3.63,1.33,37.7,Pass
724.72,16,86.72,3.215,1107.3,166.5,2.38,10.72,63.6,Fail
717.6,1,45.606,3.326,984.4,155.7,1.95,2.07,33.8,Pass
716.51,4,30.807,3.31,1017.8,141.9,1.6,8.06,31.1,Pass
729.15,5,21.922,3.352,944.0,158.9,1.52,4.3,23.3,Pass
716.16,2,38.309,3.308,989.2,137.7,0.28,1.79,17.3,Pass
698.43,12,6.253,3.438,764.0,191.9,4.37,16.61,64.6,Fail
741.48,3,16.63,3.292,991.9,149.7,0.46,0.5,18.0,Pass
734.77,3,30.634,3.322,981.1,159.2,1.61,1.89,35.0,Pass
704.33,1,35.793,3.305,1051.7,154.0,5.12,0.94,18.3,Pass
797.13,24,5.055,3.139,796.6,182.3,3.24,3.45,45.5,Fail
732.12,10,96.713,3.327,1063.1,156.5,13.31,2.93,55.6,Fail
715.32,3,43.366,3.267,973.2,138.7,1.25,4.16,19.1,Pass
737.2,4,10.005,3.341,1023.4,139.0,4.55,0.83,16.3,Pass
721.21,1,39.898,3.29,1039.2,165.0,5.17,2.26,28.8,Pass
728.41,4,11.874,3.355,963.7,152.7,0.79,2.43,32.3,Pass
746.98,4,29.336,3.312,984.0,141.3,2.38,4.28,18.8,Pass
749.91,20,4.98,3.104,861.0,177.2,5.07,7.41,34.3,Fail
721.45,2,25.164,3.183,1012.8,146.1,7.18,1.63,23.4,Pass
759.0,12,7.687,3.352,901.8,127.0,30.0,18.99,101.4,Fail
720.99,17,4.493,3.381,839.5,138.6,5.24,13.84,58.9,Fail
712.69,2,25.506,3.248,1017.5,129.1,2.2,1.67,18.1,Pass
722.22,1,48.298,3.304,1000.1,151.9,2.85,1.93,17.0,Pass
742.64,17,65.844,3.184,1107.9,107.7,3.27,10.7,65.5,Fail
748.47,4,40.757,3.236,985.4,149.3,1.1,5.6,35.0,Pass
726.76,5,20.988,3.347,1028.0,151.6,0.79,2.45,11.9,Pass
757.16,2,30.852,3.293,1000.4,181.8,0.11,2.05,25.4,Pass
732.49,17,70.267,3.356,1154.6,117.8,2.66,7.34,104.0,Fail
716.54,2,49.092,3.297,965.9,162.7,2.68,1.7,19.7,Pass
752.99,3,27.353,3.313,969.2,176.6,2.02,2.37,38.6,Pass
747.85,2,31.721,3.304,1019.8,155.2,1.96,8.15,18.5,Pass
737.19,2,37.073,3.268,1036.0,162.1,2.68,2.41,39.4,Pass
727.36,15,8.526,3.523,838.0,208.2,1.45,8.58,116.0,Fail
732.73,5,38.528,3.229,996.0,129.6,0.79,0.5,21.9,Pass
737.33,7,10.175,3.265,987.1,165.6,2.54,5.44,6.3,Pass
726.46,3,30.903,3.383,1020.9,162.7,2.71,1.13,28.3,Pass
696.99,1,26.546,3.235,991.3,177.1,1.32,2.3,36.4,Pass
746.8,8,8.572,3.395,836.4,140.9,6.53,15.84,74.3,Fail
729.4,0,41.557,3.34,1005.3,151.5,2.45,3.05,14.2,Pass
720.67,5,18.883,3.275,993.8,141.1,1.0,1.62,10.9,Pass
669.2,13,5.134,3.059,834.2,216.0,6.38,8.41,115.5,Fail
772.9,10,6.549,3.46,862.2,220.0,1.58,20.0,94.3,Fail
723.05,3,19.679,3.33,976.7,141.5,4.33,2.02,45.0,Pass
710.93,7,25.805,3.224,1015.0,188.5,1.4,3.71,29.4,Pass
703.63,3,25.013,3.286,974.7,153.3,0.46,0.5,26.9,Pass
722.93,1,11.578,3.347,1080.5,162.5,4.99,2.49,21.7,Pass
713.41,4,10.588,3.367,1012.1,162.4,0.18,6.46,24.8,Pass
726.96,2,41.408,3.266,989.9,159.7,1.58,2.66,35.9,Pass
694.86,7,90.546,3.511,1250.0,166.1,10.57,3.81,90.3,Fail
739.63,4,21.15,3.217,1026.6,152.8,0.79,1.45,27.5,Pass
723.06,12,53.677,3.362,1185.4,129.0,5.04,5.75,44.6,Fail
715.97,5,33.091,3.356,989.2,150.3,2.3,5.48,29.2,Pass
705.62,15,69.176,3.476,1135.9,161.5,4.82,7.89,98.7,Fail
734.36,2,27.48,3.249,1018.3,150.4,5.67,2.0,16.4,Pass
733.14,2,44.799,3.372,1008.7,159.0,0.88,6.5,21.6,Pass
703.97,5,38.558,3.35,966.5,131.8,7.57,3.1,9.7,Pass
719.86,2,42.139,3.257,996.7,168.1,2.77,1.88,16.3,Pass
732.71,3,17.969,3.33,978.8,129.0,2.67,2.0,17.6,Pass
723.27,4,43.879,3.265,980.3,157.7,4.83,1.05,39.0,Pass
725.15,4,13.024,3.269,965.4,142.9,1.64,4.18,18.7,Pass
714.2,1,45.339,3.267,1026.7,123.0,0.26,4.2,13.5,Pass
725.9,2,24.313,3.378,950.5,158.7,1.11,1.9,39.6,Pass
736.62,1,22.117,3.347,947.1,139.2,1.22,3.62,25.2,Pass
715.23,6,40.917,3.236,1030.5,162.8,0.1,2.43,18.1,Pass
700.51,13,87.958,3.57,1203.4,131.3,6.94,3.67,52.9,Fail
759.72,3,14.975,3.3,986.0,140.8,0.54,2.47,5.0,Pass
652.64,16,65.906,3.168,1226.8,118.4,0.22,4.91,46.9,Fail
